t,Fx,Fy,Fz,Tx,Ty,Tz
1788794209.649378,0.00142,0.01852,-0.35165,-0.00032,-0.00023,-5e-05
1788794209.668884,0.00715,0.01425,-0.39048,-0.00047,-0.00032,0.0003
1788794209.689165,-0.00089,0.01705,-0.39069,-0.00019,-8e-05,7e-05
1788794209.709296,0.00229,0.01877,-0.37307,-0.0003,-0.00025,5e-05
1788794209.729677,0.00027,0.01701,-0.37081,-0.00026,-0.00014,-1e-05
1788794209.748759,0.0015,0.01962,-0.39435,-5e-05,-0.00016,0.00019
1788794209.768965,-0.0014,0.01441,-0.40742,-0.00013,-0.00017,0.00016
1788794209.789147,-0.00182,0.01451,-0.39024,-0.00017,-0.00022,-0.0
1788794209.809373,0.00242,0.01855,-0.405,-0.00018,-0.00016,7e-05
1788794209.829493,0.00047,0.01797,-0.42677,-0.00029,-0.00019,0.00031
1788794209.848941,-0.00087,0.01904,-0.39367,-0.00027,-0.00025,8e-05
1788794209.868906,0.0008,0.01453,-0.40552,-0.00019,-0.00026,2e-05
1788794209.889411,-0.00436,0.01499,-0.39606,-0.00018,-0.00016,-0.0
1788794209.908710,0.00156,0.01778,-0.40115,-0.00027,-0.00024,-7e-05
1788794209.929050,0.00142,0.01864,-0.41217,-0.00028,-0.00017,0.00011
1788794209.949444,-0.00274,0.02293,-0.39146,-0.00023,-0.00023,-0.00016
1788794209.968739,0.00183,0.01835,-0.41243,-0.00023,-0.00028,8e-05
1788794209.989123,-0.00057,0.01447,-0.40452,-0.0004,-0.0004,-0.0001
1788794210.009404,-0.00149,0.0202,-0.4232,-0.00039,-0.00027,5e-05
1788794210.028725,-0.00105,0.01725,-0.42576,-0.00032,-0.00042,-5e-05
1788794210.049110,-0.00543,0.01693,-0.4164,-0.00016,-0.00019,-3e-05
1788794210.069448,0.00035,0.01795,-0.43285,-0.00025,-0.00014,-3e-05
1788794210.088734,8e-05,0.01795,-0.41251,-0.00037,-0.00025,-0.00016
1788794210.109101,0.0033,0.02229,-0.4426,-0.00022,-0.00011,4e-05
1788794210.129495,0.00142,0.02228,-0.42796,-0.00024,-0.00034,-0.00023
1788794210.148732,0.00193,0.01996,-0.41978,-0.00052,-0.00041,-0.00012
1788794210.169030,0.00046,0.01797,-0.42262,-0.00051,-0.00043,-0.00012
1788794210.189359,0.00194,0.0187,-0.42673,-0.00024,-0.00034,-0.00019
1788794210.208691,0.00015,0.01493,-0.45066,-0.00033,-0.00031,4e-05
1788794210.229026,0.0023,0.01323,-0.46897,-0.00017,-0.00023,-6e-05
1788794210.249433,0.00167,0.0168,-0.47095,-0.00017,-0.00021,9e-05
1788794210.268744,0.00193,0.0228,-0.46884,-0.00033,-0.0003,0.00012
1788794210.289105,0.00317,0.01881,-0.48355,-0.00035,-0.00035,7e-05
1788794210.309402,-0.00184,0.02321,-0.48277,-0.00019,-0.00018,0.00013
1788794210.328737,-0.00379,0.02211,-0.50294,-0.00027,-0.00013,0.00028
1788794210.349212,0.00198,0.01889,-0.51676,-0.00016,-0.00037,0.00024
1788794210.369590,0.00172,0.01948,-0.49923,-0.00042,-0.00051,0.00018
1788794210.388867,0.00208,0.02163,-0.54305,-0.0002,-0.00028,0.00026
1788794210.409233,0.00113,0.02405,-0.56008,-6e-05,-0.00016,0.00034
1788794210.428995,0.00277,0.01685,-0.56171,-0.00027,-0.00025,0.0005
