t,Fx,Fy,Fz,Tx,Ty,Tz
1788453667.473107,0.00997,-0.00176,-0.08241,-0.00015,-0.00013,-0.00014
1788453667.492469,0.00795,-0.006,-0.09866,-3e-05,-0.00022,-0.00017
1788453667.512951,0.00581,-0.00023,-0.09239,7e-05,-0.0001,-0.0001
1788453667.532350,0.00805,0.00475,-0.09308,-0.00011,-0.00012,-5e-05
1788453667.552546,0.00808,-0.00033,-0.13105,0.0002,0.00019,0.0001
1788453667.573026,0.00584,0.00343,-0.12158,0.00041,9e-05,-4e-05
1788453667.592305,0.00903,-0.00455,-0.1145,0.00028,0.00018,-5e-05
1788453667.612770,0.01065,0.00337,-0.0898,6e-05,2e-05,-0.00015
1788453667.632975,0.00507,-0.00056,-0.09674,-0.00023,-0.00019,6e-05
1788453667.653159,0.0063,0.00381,-0.10439,1e-05,-3e-05,-8e-05
1788453667.672721,0.00522,0.00034,-0.11562,0.00022,0.00036,-6e-05
1788453667.692832,0.00741,0.00633,-0.09272,-0.0001,1e-05,-0.00011
1788453667.713126,0.00913,0.00126,-0.09911,-0.00018,4e-05,1e-05
1788453667.732159,0.00754,-0.00148,-0.10589,-0.00029,-7e-05,0.00014
1788453667.753050,0.00807,0.0039,-0.12307,0.0003,6e-05,5e-05
1788453667.775044,0.00991,0.00426,-0.1164,-6e-05,2e-05,0.00013
1788453667.793048,0.01196,0.00032,-0.09035,-9e-05,4e-05,-1e-05
1788453667.812185,0.01494,2e-05,-0.13411,0.00012,-9e-05,4e-05
1788453667.832842,0.00231,-0.00911,-0.21232,0.00032,-4e-05,0.00012
1788453667.853060,0.00898,-0.00487,-0.21049,-4e-05,-9e-05,0.00023
1788453667.873053,0.00959,-0.00841,-0.22789,5e-05,-0.00016,8e-05
1788453667.893083,0.01304,0.00115,-0.18999,-0.00011,-0.00015,8e-05
1788453667.913111,0.00664,-0.00922,-0.22498,0.0003,0.0,0.00014
1788453667.933145,0.00662,0.00173,-0.18878,0.00027,1e-05,-5e-05
1788453667.952496,0.0118,-0.00011,-0.21705,7e-05,0.00016,0.00032
1788453667.972823,0.00882,0.00503,-0.18771,-0.00011,0.00012,0.00021
1788453667.992175,0.0065,-0.00477,-0.17254,-9e-05,-1e-05,1e-05
1788453668.012905,0.00727,-0.00605,-0.16353,-9e-05,-0.00012,-0.0001
1788453668.032269,0.01176,-0.00136,-0.16193,-0.0001,-3e-05,-0.00011
1788453668.052200,0.01456,0.00396,-0.14401,-0.00024,-0.00011,-5e-05
1788453668.072718,0.00734,-0.00186,-0.15333,-0.00015,-0.00016,1e-05
1788453668.092970,0.00888,-0.00581,-0.14799,-0.00016,-0.00017,-1e-05
