principle,measure,sensor,probe,width_px,density_px_per_mm2,mae_mm
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,640,752.0693822939492,0.0737960689502112
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,854,1339.1021328542329,0.0876344997069086
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,1280,3008.2775291757966,0.1001287845734933
9DTact,shape_mae_vs_resolution,medium_3mm_r1,cyl4,1920,6768.624440645542,0.1172340975914577
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,16,0.6926613369365556,0.4093419430833698
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,32,2.7706453477462225,0.2033367869718188
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,48,6.233952032429001,0.1407284522316179
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,80,17.31653342341389,0.1221923272776825
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,160,69.26613369365556,0.102033800361115
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,320,277.06453477462225,0.1001822252883486
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,426,491.02112805429056,0.100109468350311
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,640,1108.258139098489,0.1118842763117519
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,854,1973.316389098519,0.1334236449813541
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,1280,4433.032556393956,0.1502816033801135
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cube4,1920,9974.3232518864,0.172085921367327
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,16,0.6926613369365556,0.3789157959539029
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,32,2.7706453477462225,0.165608803890979
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,48,6.233952032429001,0.1191584104283968
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,80,17.31653342341389,0.0751762607445395
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,160,69.26613369365556,0.0589091547286499
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,320,277.06453477462225,0.0632426836622255
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,426,491.02112805429056,0.0594407955457233
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,640,1108.258139098489,0.0694191245334078
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,854,1973.316389098519,0.0861225065829878
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,1280,4433.032556393956,0.1044401621397196
9DTact,shape_mae_vs_resolution,soft_1mm_r1,cyl4,1920,9974.3232518864,0.1279737799069145
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,16,0.5459389030218897,0.3087060035236176
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,32,2.183755612087559,0.15484111893819
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,48,4.913450127197007,0.0854609919193575
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,80,13.648472575547242,0.0985419290001031
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,160,54.59389030218897,0.1116601575448624
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,320,218.37556120875587,0.1216844701236951
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,426,387.01097017500166,0.1291981902536385
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,640,873.5022448350235,0.1327474642020464
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,854,1555.3202226418462,0.1479252204683216
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,1280,3494.008979340094,0.1545948940713497
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cube4,1920,7861.5202035152115,0.1665772598155381
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,16,0.5459389030218897,0.3425060185455272
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,32,2.183755612087559,0.0785404084854942
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,48,4.913450127197007,0.0300330661818047
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,80,13.648472575547242,0.0386860158760334
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,160,54.59389030218897,0.0474072009370035
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,320,218.37556120875587,0.0556175117055487
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,426,387.01097017500166,0.0610125139578608
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,640,873.5022448350235,0.0668892426053994
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,854,1555.3202226418462,0.0819346495834629
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,1280,3494.008979340094,0.0913212912036038
9DTact,shape_mae_vs_resolution,soft_2mm_r1,cyl4,1920,7861.5202035152115,0.1071043099207322
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,16,0.447397496037187,0.1510987161026833
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,32,1.789589984148748,0.1063860176171614
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,48,4.026577464334683,0.0634214306170411
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,80,11.184937400929671,0.0581320160393532
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,160,44.73974960371869,0.0597311639797488
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,320,178.95899841487477,0.0537680594610178
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,426,317.1558905892365,0.0561669154240389
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,640,715.8359936594991,0.0526563078659952
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,854,1274.5865321088163,0.0498487920712993
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,1280,2863.3439746379963,0.0472806973905927
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cube4,1920,6442.523942935493,0.0483916188254245
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,16,0.447397496037187,0.1443166973777453
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,32,1.789589984148748,0.0905720622952648
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,48,4.026577464334683,0.0386361875129104
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,80,11.184937400929671,0.0461830794968984
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,160,44.73974960371869,0.0421698671018688
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,320,178.95899841487477,0.0429071873744261
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,426,317.1558905892365,0.0433696166681394
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,640,715.8359936594991,0.0474111544673107
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,854,1274.5865321088163,0.0500563732175609
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,1280,2863.3439746379963,0.0554752276808916
9DTact,shape_mae_vs_resolution,soft_3mm_r1,cyl4,1920,6442.523942935493,0.0717889404462022
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,8,0.163594529922627,-0.952208198628982
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,16,0.6543781196905081,0.2160546691706528
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,32,2.6175124787620323,-0.2626933307947339
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,48,5.889403077214571,-0.2548184455587261
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,80,16.3594529922627,0.1235546092073534
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,160,65.4378119690508,0.1469098421333603
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,320,261.7512478762032,0.2655866235849906
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,426,463.88251425372886,0.2946167598688491
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,640,1047.0049915048128,0.3573001471085151
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,854,1864.2516903914163,0.1691355808260697
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,1280,4188.019966019251,0.1646047368047254
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cube4,1920,9423.044923543315,0.1331674438466983
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,8,0.163594529922627,1.4765566869665836
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,16,0.6543781196905081,0.6107546503321952
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,32,2.6175124787620323,-0.1011877808093251
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,48,5.889403077214571,0.0146200177620734
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,80,16.3594529922627,0.0892036517052998
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,160,65.4378119690508,0.0955089606206129
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,320,261.7512478762032,0.1047324485679013
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,426,463.88251425372886,0.1098711853621967
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,640,1047.0049915048128,0.1125265159134247
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,854,1864.2516903914163,0.0119636968867231
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,1280,4188.019966019251,-0.0151694340489823
9DTact,shape_size_err_vs_resolution,hard_1mm_r1,cyl4,1920,9423.044923543315,-0.0480370003638208
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,16,0.5502079185820399,-0.174923341712462
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,32,2.2008316743281595,0.4227448861449661
9DTact,shape_size_err_vs_resolution,hard_2mm_r1,cube4,48,4.95187126723836,0.3032112405734795
