sample_index,t_rel_s,SG0_ai16_V,SG1_ai18_V,SG2_ai17_V,SG3_ai19_V,SG4_ai20_V,SG5_ai21_V
280,0.140000,1.049239904,1.266540228,1.172190461,0.825035980,1.031158941,1.062060951
281,0.140500,1.048253670,1.266540228,1.172847950,0.825364724,1.031487686,1.061732206
282,0.141000,1.048582415,1.268183952,1.173176695,0.825035980,1.031816431,1.061732206
283,0.141500,1.048253670,1.266540228,1.171861716,0.824378490,1.030172707,1.061403461
284,0.142000,1.047596180,1.265553994,1.171861716,0.824049745,1.030501452,1.061074717
285,0.142500,1.048582415,1.265882738,1.172519206,0.824707235,1.032145175,1.062060951
286,0.143000,1.048911159,1.265553994,1.172190461,0.824707235,1.030830196,1.061732206
287,0.143500,1.048582415,1.266868973,1.173505440,0.825693469,1.032473920,1.062060951
288,0.144000,1.049568649,1.265882738,1.173176695,0.825364724,1.031487686,1.062718441
289,0.144500,1.049239904,1.265553994,1.172519206,0.824707235,1.031158941,1.062718441
290,0.145000,1.049897394,1.265882738,1.173176695,0.825035980,1.031158941,1.061732206
291,0.145500,1.050226139,1.265882738,1.171861716,0.826022214,1.030172707,1.062389696
292,0.146000,1.050554883,1.265882738,1.173176695,0.826022214,1.030830196,1.062389696
293,0.146500,1.049568649,1.265225249,1.171204226,0.825035980,1.031158941,1.062389696
294,0.147000,1.048582415,1.267197718,1.172190461,0.825364724,1.031158941,1.061732206
295,0.147500,1.048911159,1.267197718,1.173834185,0.825035980,1.030501452,1.061732206
296,0.148000,1.048582415,1.266868973,1.173505440,0.826022214,1.031487686,1.062060951
297,0.148500,1.048911159,1.266211483,1.171532971,0.824707235,1.030830196,1.061732206
298,0.149000,1.048582415,1.265882738,1.172519206,0.825035980,1.030830196,1.061403461
299,0.149500,1.048911159,1.266211483,1.171532971,0.824707235,1.030172707,1.061074717
300,0.150000,1.048253670,1.266211483,1.172847950,0.825035980,1.030830196,1.061074717
301,0.150500,1.048253670,1.266868973,1.172847950,0.825035980,1.030501452,1.060745972
302,0.151000,1.048911159,1.265553994,1.172190461,0.824378490,1.030830196,1.061403461
303,0.151500,1.048911159,1.266540228,1.173505440,0.826350958,1.032473920,1.062060951
304,0.152000,1.049239904,1.266540228,1.173176695,0.826022214,1.032473920,1.062389696
305,0.152500,1.049239904,1.266868973,1.173505440,0.826350958,1.032473920,1.062060951
306,0.153000,1.049897394,1.266540228,1.172519206,0.825364724,1.031816431,1.063047185
307,0.153500,1.051212373,1.265882738,1.172847950,0.826679703,1.031816431,1.064362164
308,0.154000,1.050226139,1.265553994,1.171204226,0.825035980,1.030172707,1.062718441
309,0.154500,1.049239904,1.265553994,1.171532971,0.825035980,1.031487686,1.062060951
310,0.155000,1.049239904,1.266540228,1.171532971,0.826350958,1.031816431,1.061732206
311,0.155500,1.049239904,1.266868973,1.171861716,0.825693469,1.031158941,1.061732206
312,0.156000,1.049568649,1.265882738,1.169889247,0.824707235,1.030172707,1.063375930
313,0.156500,1.049239904,1.266211483,1.170217992,0.824378490,1.031158941,1.062060951
314,0.157000,1.048253670,1.265882738,1.170546737,0.824378490,1.031158941,1.061732206
315,0.157500,1.047596180,1.265882738,1.171861716,0.824049745,1.031487686,1.061732206
316,0.158000,1.048253670,1.267197718,1.172847950,0.824049745,1.032145175,1.061732206
