sample_index,t_rel_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
189,0.094500,3.563540769,9.177010800,103.325830383,-0.026374628,-0.040252436,-0.968941995
190,0.095000,3.554765331,9.206784308,103.279347144,-0.025801794,-0.041621356,-0.968802992
191,0.095500,3.603055875,9.202663514,103.167121123,-0.026328913,-0.040629651,-0.968506602
192,0.096000,3.587591789,9.185752994,103.211841868,-0.026464596,-0.040950072,-0.968594857
193,0.096500,3.606212629,9.212661408,103.186978950,-0.026970189,-0.040862251,-0.967912807
194,0.097000,3.564753398,9.229352644,103.267505391,-0.026168752,-0.041574667,-0.968576960
195,0.097500,3.591133560,9.234201711,103.206968080,-0.026823345,-0.041569769,-0.967461286
196,0.098000,3.572710075,9.218060854,103.243230408,-0.026240195,-0.042063866,-0.968262052
197,0.098500,3.600352652,9.248509809,103.232139635,-0.027076699,-0.041827715,-0.968136590
198,0.099000,3.559231536,9.199428490,103.323166666,-0.026929697,-0.042089193,-0.968652522
199,0.099500,3.568792239,9.203266410,103.290967919,-0.027434442,-0.041848236,-0.968899991
200,0.100000,3.575411233,9.207092894,103.265358092,-0.027036957,-0.041685152,-0.968108377
201,0.100500,3.608255964,9.196638101,103.310819017,-0.027448769,-0.041719532,-0.968283332
202,0.101000,3.557866735,9.167903388,103.326553343,-0.026984282,-0.041165111,-0.969313762
203,0.101500,3.582203296,9.180201136,103.325299451,-0.027054416,-0.041017005,-0.968954480
204,0.102000,3.592304291,9.188637660,103.301979182,-0.027521865,-0.041820102,-0.968878176
205,0.102500,3.543061927,9.243186232,103.381963006,-0.026452866,-0.041815618,-0.969182054
206,0.103000,3.570553151,9.221144739,103.189141120,-0.025861868,-0.040583620,-0.968386265
207,0.103500,3.590266039,9.176850821,103.311445772,-0.027067928,-0.041290994,-0.968393145
208,0.104000,3.605915141,9.186074476,103.213260270,-0.027168606,-0.041086751,-0.968933779
209,0.104500,3.575135115,9.204814686,103.290912382,-0.027059252,-0.041261702,-0.968766577
210,0.105000,3.607311006,9.224992593,103.256676999,-0.027065311,-0.041788338,-0.968686974
211,0.105500,3.562027479,9.246588990,103.278401564,-0.027303789,-0.042284000,-0.968584376
212,0.106000,3.606667563,9.206556027,103.242981356,-0.027015447,-0.041700386,-0.968117151
213,0.106500,3.576022683,9.232331830,103.302252184,-0.027040037,-0.041346170,-0.968760873
214,0.107000,3.609173538,9.185980416,103.302383262,-0.027888212,-0.041321074,-0.968854075
215,0.107500,3.601057246,9.202036931,103.288065895,-0.027593719,-0.041772283,-0.968192421
216,0.108000,3.598760754,9.180051795,103.311201752,-0.027217711,-0.041038136,-0.968266227
217,0.108500,3.624145426,9.200906577,103.289878158,-0.027587174,-0.040683519,-0.968380696
218,0.109000,3.621693928,9.171507041,103.267674329,-0.027262173,-0.040168666,-0.968385857
219,0.109500,3.589424314,9.184915646,103.277323688,-0.026828838,-0.040965734,-0.968185510
220,0.110000,3.547576571,9.180768492,103.200029857,-0.026351323,-0.040567091,-0.968378575
