sensor,probe,density_px_per_mm2,mae_mm
hard_3mm_r1,cube4,2.120646819787497,0.11747163767245543
hard_3mm_r1,cube4,4.771455344521867,0.11101483165847387
hard_3mm_r1,cube4,13.254042623671861,0.10947230567164347
hard_3mm_r1,cube4,53.016170494687444,0.1050909718834075
hard_3mm_r1,cube4,212.06468197874977,0.10319257388141878
hard_3mm_r1,cube4,375.8266623708553,0.10220239668714133
hard_3mm_r1,cube4,848.2587279149991,0.09603219464050854
hard_3mm_r1,cube4,1510.372710957166,0.09532109136012323
hard_3mm_r1,cube4,3393.0349116599964,0.10189295793202648
hard_3mm_r1,cube4,7634.328551234989,0.09853868047025927
medium_1mm_r1,cube4,0.21059322079920634,0.04177601026414239
medium_1mm_r1,cube4,0.8423728831968254,0.04094872404880476
medium_1mm_r1,cube4,3.3694915327873014,0.04082633812053443
medium_1mm_r1,cube4,7.581355948771427,0.04357550252301936
medium_1mm_r1,cube4,21.05932207992063,0.04583002884013894
medium_1mm_r1,cube4,84.23728831968252,0.04701458174808268
medium_1mm_r1,cube4,336.9491532787301,0.04712391752822644
medium_1mm_r1,cube4,597.1502396524494,0.04742490608318094
medium_1mm_r1,cube4,1347.7966131149203,0.04566434133870843
medium_1mm_r1,cube4,2399.8282096936555,0.04584536958558801
medium_1mm_r1,cube4,5391.186452459681,0.047424879261090805
medium_1mm_r1,cube4,12130.169518034287,0.0470402430377746
medium_2mm_r1,cube4,0.17367109773304965,0.06863779267102359
medium_2mm_r1,cube4,0.6946843909321986,0.04149296395286798
medium_2mm_r1,cube4,2.7787375637287943,0.021179434655158497
medium_2mm_r1,cube4,6.252159518389789,0.018829432127921576
medium_2mm_r1,cube4,17.367109773304964,0.024334062820224756
medium_2mm_r1,cube4,69.46843909321986,0.02619365211382385
medium_2mm_r1,cube4,277.8737563728794,0.02688607405677316
medium_2mm_r1,cube4,492.45525206567055,0.02692559417143343
medium_2mm_r1,cube4,1111.4950254915177,0.020106984486727677
medium_2mm_r1,cube4,1979.0798486605756,0.0199966305847454
medium_2mm_r1,cube4,4445.980101966071,0.026356940900831217
medium_2mm_r1,cube4,10003.45522942366,0.023863700589089393
medium_3mm_r1,cube4,0.1366479789414849,0.12789285562929587
medium_3mm_r1,cube4,0.5465919157659396,0.08735903794563883
medium_3mm_r1,cube4,2.1863676630637583,0.069720054740678
medium_3mm_r1,cube4,4.919327241893458,0.07016023255881743
medium_3mm_r1,cube4,13.66479789414849,0.06480867050585222
medium_3mm_r1,cube4,54.65919157659396,0.06110926476614747
medium_3mm_r1,cube4,218.63676630637585,0.05942645676431133
medium_3mm_r1,cube4,387.47388478726435,0.058497573013077925
medium_3mm_r1,cube4,874.5470652255034,0.046670754825046394
medium_3mm_r1,cube4,1557.1805845263752,0.046091231281529636
medium_3mm_r1,cube4,3498.1882609020136,0.058334476078520964
medium_3mm_r1,cube4,7870.9235870295315,0.05514427157736893
soft_1mm_r2,cube4,0.20803524288340983,0.1324738964071293
soft_1mm_r2,cube4,0.8321409715336393,0.12472848196700832
soft_1mm_r2,cube4,3.3285638861345572,0.10526699148704514
soft_1mm_r2,cube4,7.4892687438027545,0.10243952089708383
soft_1mm_r2,cube4,20.803524288340984,0.09775082928315419
soft_1mm_r2,cube4,83.21409715336394,0.09132426872371113
soft_1mm_r2,cube4,332.85638861345575,0.0888101721541241
soft_1mm_r2,cube4,589.8969333985889,0.08807143484769954
soft_1mm_r2,cube4,1331.425554453823,0.08427245218701428
soft_1mm_r2,cube4,2370.678612480577,0.08348245116079263
soft_1mm_r2,cube4,5325.702217815292,0.08655923467524118
soft_1mm_r2,cube4,11982.829990084407,0.08441544266546179
soft_2mm_r1,cube4,0.1832714063117097,0.0919216880100295
soft_2mm_r1,cube4,0.7330856252468388,0.045065842987082924
soft_2mm_r1,cube4,2.9323425009873554,0.03233819287181648
soft_2mm_r1,cube4,6.597770627221551,0.030333299375183902
soft_2mm_r1,cube4,18.327140631170973,0.030085000394888227
soft_2mm_r1,cube4,73.3085625246839,0.03171102860853825
soft_2mm_r1,cube4,293.2342500987356,0.03188186110839995
soft_2mm_r1,cube4,519.6775270597474,0.031583635321863
soft_2mm_r1,cube4,1172.9370003949423,0.027181478402622052
soft_2mm_r1,cube4,2088.480765087983,0.027375232613690223
soft_2mm_r1,cube4,4691.748001579769,0.031837686150379504
soft_2mm_r1,cube4,10556.43300355448,0.03039204766885193
soft_3mm_r1,cube4,0.14892884080120877,0.1320103489921785
soft_3mm_r1,cube4,0.5957153632048351,0.1064752367453075
soft_3mm_r1,cube4,2.3828614528193404,0.09626338157219654
soft_3mm_r1,cube4,5.361438268843514,0.101102072975665
soft_3mm_r1,cube4,14.892884080120874,0.09765484952095116
soft_3mm_r1,cube4,59.571536320483496,0.09717254239482642
soft_3mm_r1,cube4,238.28614528193398,0.09715302808247968
soft_3mm_r1,cube4,422.2970361443775,0.09719315070075753
soft_3mm_r1,cube4,953.1445811277359,0.09210894031487864
soft_3mm_r1,cube4,1697.1279134027243,0.09202327726446553
soft_3mm_r1,cube4,3812.5783245109437,0.0984416755354699
soft_3mm_r1,cube4,8578.301230149624,0.09647973649862374
