sensor,width_px,mae,thickness_mm,hardness,density_px_per_mm2,principle,probe
hard_2mm_r1,80,0.03297039728694316,2,hard,17.7486930809379,DIGIT,cyl4
hard_2mm_r1,160,0.032906018682650265,2,hard,70.9947723237516,DIGIT,cyl4
hard_2mm_r1,320,0.032614593692949966,2,hard,283.9790892950064,DIGIT,cyl4
hard_2mm_r1,426,0.03272223334842082,2,hard,503.2752852431697,DIGIT,cyl4
hard_2mm_r1,640,0.026020895429781626,2,hard,1135.9163571800257,DIGIT,cyl4
hard_2mm_r1,854,0.025918803104094223,2,hard,2022.5634129714535,DIGIT,cyl4
hard_2mm_r1,1280,0.033677241691282965,2,hard,4543.665428720103,DIGIT,cyl4
hard_2mm_r1,1920,0.03111812967889665,2,hard,10223.247214620229,DIGIT,cyl4
hard_3mm_r1,8,0.182174955064208,3,hard,0.13254042623671855,DIGIT,cyl4
hard_3mm_r1,16,0.11359293133743176,3,hard,0.5301617049468742,DIGIT,cyl4
hard_3mm_r1,32,0.09299464457459818,3,hard,2.120646819787497,DIGIT,cyl4
hard_3mm_r1,48,0.0894751309303201,3,hard,4.771455344521867,DIGIT,cyl4
hard_3mm_r1,80,0.08695383489854702,3,hard,13.254042623671861,DIGIT,cyl4
hard_3mm_r1,160,0.08459037662275205,3,hard,53.016170494687444,DIGIT,cyl4
hard_3mm_r1,320,0.08436977610714806,3,hard,212.06468197874977,DIGIT,cyl4
hard_3mm_r1,426,0.08443805136509311,3,hard,375.8266623708553,DIGIT,cyl4
hard_3mm_r1,640,0.08070169416047701,3,hard,848.2587279149991,DIGIT,cyl4
hard_3mm_r1,854,0.0804642348436273,3,hard,1510.372710957166,DIGIT,cyl4
hard_3mm_r1,1280,0.0847534046394385,3,hard,3393.0349116599964,DIGIT,cyl4
hard_3mm_r1,1920,0.08295227800287376,3,hard,7634.328551234989,DIGIT,cyl4
medium_1mm_r1,8,0.05522242781645946,1,medium,0.21059322079920634,DIGIT,cyl4
medium_1mm_r1,16,0.034754188330241964,1,medium,0.8423728831968254,DIGIT,cyl4
medium_1mm_r1,32,0.03730299477645998,1,medium,3.3694915327873014,DIGIT,cyl4
medium_1mm_r1,48,0.04079301809141284,1,medium,7.581355948771427,DIGIT,cyl4
medium_1mm_r1,80,0.04231128548452502,1,medium,21.05932207992063,DIGIT,cyl4
medium_1mm_r1,160,0.043343881566020336,1,medium,84.23728831968252,DIGIT,cyl4
medium_1mm_r1,320,0.04326797952124724,1,medium,336.9491532787301,DIGIT,cyl4
medium_1mm_r1,426,0.04307491635152944,1,medium,597.1502396524494,DIGIT,cyl4
medium_1mm_r1,640,0.0401779227442468,1,medium,1347.7966131149203,DIGIT,cyl4
medium_1mm_r1,854,0.04004638497898228,1,medium,2399.8282096936555,DIGIT,cyl4
medium_1mm_r1,1280,0.043392245519849125,1,medium,5391.186452459681,DIGIT,cyl4
medium_1mm_r1,1920,0.04127900232741486,1,medium,12130.169518034287,DIGIT,cyl4
medium_2mm_r1,8,0.129914453058273,2,medium,0.17367109773304965,DIGIT,cyl4
medium_2mm_r1,16,0.08040883087390328,2,medium,0.6946843909321986,DIGIT,cyl4
medium_2mm_r1,32,0.04882234850968462,2,medium,2.7787375637287943,DIGIT,cyl4
medium_2mm_r1,48,0.05134212539911807,2,medium,6.252159518389789,DIGIT,cyl4
medium_2mm_r1,80,0.04986135572265129,2,medium,17.367109773304964,DIGIT,cyl4
medium_2mm_r1,160,0.05190300293336849,2,medium,69.46843909321986,DIGIT,cyl4
medium_2mm_r1,320,0.05174237555583854,2,medium,277.8737563728794,DIGIT,cyl4
medium_2mm_r1,426,0.05152432779541157,2,medium,492.45525206567055,DIGIT,cyl4
medium_2mm_r1,640,0.044184152074858936,2,medium,1111.4950254915177,DIGIT,cyl4
medium_2mm_r1,854,0.04337326378942075,2,medium,1979.0798486605756,DIGIT,cyl4
medium_2mm_r1,1280,0.050517720829154435,2,medium,4445.980101966071,DIGIT,cyl4
medium_2mm_r1,1920,0.047004359501804316,2,medium,10003.45522942366,DIGIT,cyl4
medium_3mm_r1,8,0.1414743436349582,3,medium,0.1366479789414849,DIGIT,cyl4
medium_3mm_r1,16,0.07937188482266179,3,medium,0.5465919157659396,DIGIT,cyl4
medium_3mm_r1,32,0.07233308999222031,3,medium,2.1863676630637583,DIGIT,cyl4
medium_3mm_r1,48,0.07781258764099588,3,medium,4.919327241893458,DIGIT,cyl4
medium_3mm_r1,80,0.07857450859975329,3,medium,13.66479789414849,DIGIT,cyl4
medium_3mm_r1,160,0.08077838810514919,3,medium,54.65919157659396,DIGIT,cyl4
medium_3mm_r1,320,0.07920632155966276,3,medium,218.63676630637585,DIGIT,cyl4
medium_3mm_r1,426,0.07853454443048943,3,medium,387.47388478726435,DIGIT,cyl4
medium_3mm_r1,640,0.06775812366234246,3,medium,874.5470652255034,DIGIT,cyl4
medium_3mm_r1,854,0.06667750560866777,3,medium,1557.1805845263752,DIGIT,cyl4
medium_3mm_r1,1280,0.08116853328775875,3,medium,3498.1882609020136,DIGIT,cyl4
medium_3mm_r1,1920,0.07535914795827384,3,medium,7870.9235870295315,DIGIT,cyl4
soft_1mm_r2,8,0.1076332867458228,1,soft,0.20803524288340983,DIGIT,cyl4
soft_1mm_r2,16,0.07298971882190071,1,soft,0.8321409715336393,DIGIT,cyl4
soft_1mm_r2,32,0.05755017065642026,1,soft,3.3285638861345572,DIGIT,cyl4
soft_1mm_r2,48,0.04749943863488978,1,soft,7.4892687438027545,DIGIT,cyl4
soft_1mm_r2,80,0.046353435510600456,1,soft,20.803524288340984,DIGIT,cyl4
soft_1mm_r2,160,0.04466399028321594,1,soft,83.21409715336394,DIGIT,cyl4
