unit,width_px,x_mm,depth_mm,true_mm
medium_3mm_r2,320,4.654613364068729,0.020723747,0.4827593278419329
medium_3mm_r2,320,4.722071528765377,0.020065395,0.4827593278419329
medium_3mm_r2,320,4.7895296934620255,0.0194819,0.4827593278419329
medium_3mm_r2,320,4.856987858158674,0.01893745,0.4827593278419329
medium_3mm_r2,320,4.924446022855322,0.018414551,0.4827593278419329
medium_3mm_r2,320,4.99190418755197,0.017905906,0.4827593278419329
medium_3mm_r2,320,5.059362352248619,0.017409258,0.4827593278419329
medium_3mm_r2,320,5.1268205169452665,0.016924547,0.4827593278419329
medium_3mm_r2,320,5.194278681641915,0.016452493,0.4827593278419329
medium_3mm_r2,320,5.261736846338564,0.015993915,0.4827593278419329
medium_3mm_r2,320,5.329195011035211,0.015549459,0.4827593278419329
medium_3mm_r2,320,5.39665317573186,0.015119543,0.4827593278419329
medium_3mm_r2,320,5.4641113404285075,0.014704563,0.4827593278419329
medium_3mm_r2,320,5.531569505125156,0.014305651,0.4827593278419329
medium_3mm_r2,320,5.599027669821805,0.013925808,0.4827593278419329
medium_3mm_r2,320,5.666485834518452,0.013560928,0.4827593278419329
medium_3mm_r2,320,5.733943999215101,0.013209792,0.4827593278419329
medium_3mm_r2,320,5.8014021639117495,0.012872131,0.4827593278419329
medium_3mm_r2,320,5.868860328608397,0.01254773,0.4827593278419329
medium_3mm_r2,320,5.936318493305046,0.012236259,0.4827593278419329
medium_3mm_r2,320,6.003776658001694,0.011937286,0.4827593278419329
medium_3mm_r2,320,6.071234822698342,0.011650328,0.4827593278419329
medium_3mm_r2,320,6.1386929873949905,0.011374871,0.4827593278419329
medium_3mm_r2,320,6.206151152091639,0.011110403,0.4827593278419329
medium_3mm_r2,320,6.273609316788287,0.01085641,0.4827593278419329
medium_3mm_r2,320,6.341067481484935,0.010612395,0.4827593278419329
medium_3mm_r2,320,6.408525646181584,0.010377874,0.4827593278419329
medium_3mm_r2,320,6.4759838108782315,0.010152385,0.4827593278419329
medium_3mm_r2,320,6.54344197557488,0.0099354815,0.4827593278419329
medium_3mm_r2,320,6.610900140271528,0.009726742,0.4827593278419329
medium_3mm_r2,320,6.678358304968176,0.009525761,0.4827593278419329
medium_3mm_r2,320,6.745816469664825,0.009332154,0.4827593278419329
medium_3mm_r2,320,6.8132746343614725,0.009145557,0.4827593278419329
medium_3mm_r2,320,6.880732799058121,0.008965624,0.4827593278419329
medium_3mm_r2,320,6.94819096375477,0.008792026,0.4827593278419329
medium_3mm_r2,320,7.015649128451417,0.008624452,0.4827593278419329
medium_3mm_r2,320,7.083107293148066,0.008462609,0.4827593278419329
medium_3mm_r2,320,7.150565457844714,0.008306215,0.4827593278419329
medium_3mm_r2,320,7.218023622541362,0.008155006,0.4827593278419329
medium_3mm_r2,320,7.285481787238011,0.008008732,0.4827593278419329
medium_3mm_r2,320,7.352939951934659,0.007867155,0.4827593278419329
medium_3mm_r2,320,7.420398116631307,0.007730047,0.4827593278419329
medium_3mm_r2,320,7.487856281327955,0.0075971973,0.4827593278419329
medium_3mm_r2,320,7.555314446024604,0.0074684015,0.4827593278419329
medium_3mm_r2,320,7.622772610721252,0.007343467,0.4827593278419329
medium_3mm_r2,320,7.6902307754179,0.007222211,0.4827593278419329
medium_3mm_r2,320,7.757688940114549,0.0071044606,0.4827593278419329
medium_3mm_r2,320,7.8251471048111965,0.00699005,0.4827593278419329
medium_3mm_r2,320,7.892605269507845,0.006878823,0.4827593278419329
medium_3mm_r2,320,7.960063434204493,0.0067706304,0.4827593278419329
medium_3mm_r2,320,8.027521598901142,0.0066653304,0.4827593278419329
medium_3mm_r2,320,8.09497976359779,0.0065627885,0.4827593278419329
medium_3mm_r2,320,8.162437928294437,0.0064628758,0.4827593278419329
medium_3mm_r2,320,8.229896092991087,0.00636547,0.4827593278419329
medium_3mm_r2,320,8.297354257687735,0.0062704557,0.4827593278419329
medium_3mm_r2,320,8.364812422384382,0.0061777215,0.4827593278419329
medium_3mm_r2,320,8.43227058708103,0.0060871616,0.4827593278419329
medium_3mm_r2,320,8.49972875177768,0.0059986757,0.4827593278419329
medium_3mm_r2,320,8.567186916474327,0.005912167,0.4827593278419329
medium_3mm_r2,320,8.634645081170975,0.0058275447,0.4827593278419329
medium_3mm_r2,320,8.702103245867624,0.0057447213,0.4827593278419329
medium_3mm_r2,320,8.769561410564272,0.005663613,0.4827593278419329
medium_3mm_r2,320,8.83701957526092,0.00558414,0.4827593278419329
medium_3mm_r2,320,8.904477739957569,0.0055062263,0.4827593278419329
medium_3mm_r2,320,8.971935904654217,0.0054297997,0.4827593278419329
medium_3mm_r2,320,9.039394069350864,0.0053547905,0.4827593278419329
medium_3mm_r2,320,9.106852234047514,0.0052811326,0.4827593278419329
medium_3mm_r2,320,9.174310398744161,0.0052087624,0.4827593278419329
medium_3mm_r2,320,9.241768563440809,0.0051376196,0.4827593278419329
