sensor,hardness,thickness_mm,width_px,density_px_per_mm2,res,principle
hard_3mm_r1,hard,3,8,0.13254042623671855,0.2395583838224411,DIGIT
hard_3mm_r1,hard,3,16,0.5301617049468742,0.150290235877037,DIGIT
hard_3mm_r1,hard,3,32,2.120646819787497,0.0914142355322837,DIGIT
hard_3mm_r1,hard,3,48,4.771455344521867,0.0926761031150817,DIGIT
hard_3mm_r1,hard,3,80,13.254042623671861,0.0862841308116912,DIGIT
hard_3mm_r1,hard,3,160,53.016170494687444,0.0918994396924972,DIGIT
hard_3mm_r1,hard,3,320,212.06468197874977,0.089839406311512,DIGIT
hard_3mm_r1,hard,3,426,375.8266623708553,0.0903829708695411,DIGIT
hard_3mm_r1,hard,3,640,848.2587279149991,0.0889323279261589,DIGIT
hard_3mm_r1,hard,3,854,1510.372710957166,0.1084397584199905,DIGIT
hard_3mm_r1,hard,3,1280,3393.0349116599964,0.0902304574847221,DIGIT
hard_3mm_r1,hard,3,1920,7634.328551234989,0.1047687530517578,DIGIT
medium_1mm_r1,medium,1,8,0.21059322079920634,0.1281384378671646,DIGIT
medium_1mm_r1,medium,1,16,0.8423728831968254,0.0929599702358245,DIGIT
medium_1mm_r1,medium,1,32,3.3694915327873014,0.0714878141880035,DIGIT
medium_1mm_r1,medium,1,48,7.581355948771427,0.0704101175069809,DIGIT
medium_1mm_r1,medium,1,80,21.05932207992063,0.0884255766868591,DIGIT
medium_1mm_r1,medium,1,160,84.23728831968252,0.1164984256029129,DIGIT
medium_1mm_r1,medium,1,320,336.9491532787301,0.0898968875408172,DIGIT
medium_1mm_r1,medium,1,426,597.1502396524494,0.0776437893509864,DIGIT
medium_1mm_r1,medium,1,640,1347.7966131149203,0.0989032238721847,DIGIT
medium_1mm_r1,medium,1,854,2399.8282096936555,0.089655801653862,DIGIT
medium_1mm_r1,medium,1,1280,5391.186452459681,0.094765804708004,DIGIT
medium_1mm_r1,medium,1,1920,12130.169518034287,0.1040193438529968,DIGIT
medium_2mm_r1,medium,2,8,0.17367109773304965,0.1573987156152725,DIGIT
medium_2mm_r1,medium,2,16,0.6946843909321986,0.0927820056676864,DIGIT
medium_2mm_r1,medium,2,32,2.7787375637287943,0.0927156060934066,DIGIT
medium_2mm_r1,medium,2,48,6.252159518389789,0.0813410729169845,DIGIT
medium_2mm_r1,medium,2,80,17.367109773304964,0.0773427262902259,DIGIT
medium_2mm_r1,medium,2,160,69.46843909321986,0.0836782231926918,DIGIT
medium_2mm_r1,medium,2,320,277.8737563728794,0.0878420397639274,DIGIT
medium_2mm_r1,medium,2,426,492.45525206567055,0.0839545130729675,DIGIT
medium_2mm_r1,medium,2,640,1111.4950254915177,0.0843744352459907,DIGIT
medium_2mm_r1,medium,2,854,1979.0798486605756,0.0916007310152053,DIGIT
medium_2mm_r1,medium,2,1280,4445.980101966071,0.0909703001379966,DIGIT
medium_2mm_r1,medium,2,1920,10003.45522942366,0.1021347716450691,DIGIT
medium_3mm_r1,medium,3,8,0.1366479789414849,0.1663879603147506,DIGIT
medium_3mm_r1,medium,3,16,0.5465919157659396,0.104174792766571,DIGIT
medium_3mm_r1,medium,3,32,2.1863676630637583,0.0862889438867569,DIGIT
medium_3mm_r1,medium,3,48,4.919327241893458,0.0684176459908485,DIGIT
medium_3mm_r1,medium,3,80,13.66479789414849,0.0851560160517692,DIGIT
medium_3mm_r1,medium,3,160,54.65919157659396,0.0710546672344207,DIGIT
medium_3mm_r1,medium,3,320,218.63676630637585,0.0974715501070022,DIGIT
medium_3mm_r1,medium,3,426,387.47388478726435,0.0718824937939643,DIGIT
medium_3mm_r1,medium,3,640,874.5470652255034,0.0858883261680603,DIGIT
medium_3mm_r1,medium,3,854,1557.1805845263752,0.0819485783576965,DIGIT
medium_3mm_r1,medium,3,1280,3498.1882609020136,0.0859139114618301,DIGIT
medium_3mm_r1,medium,3,1920,7870.9235870295315,0.0928404107689857,DIGIT
soft_1mm_r2,soft,1,8,0.20803524288340983,0.2012203782796859,DIGIT
soft_1mm_r2,soft,1,16,0.8321409715336393,0.1653110384941101,DIGIT
soft_1mm_r2,soft,1,32,3.3285638861345572,0.1237121745944023,DIGIT
soft_1mm_r2,soft,1,48,7.4892687438027545,0.1114029139280319,DIGIT
soft_1mm_r2,soft,1,80,20.803524288340984,0.1138553619384765,DIGIT
soft_1mm_r2,soft,1,160,83.21409715336394,0.1222851127386093,DIGIT
soft_1mm_r2,soft,1,320,332.85638861345575,0.1172369122505188,DIGIT
soft_1mm_r2,soft,1,426,589.8969333985889,0.1174630895256996,DIGIT
soft_1mm_r2,soft,1,640,1331.425554453823,0.1167803630232811,DIGIT
soft_1mm_r2,soft,1,854,2370.678612480577,0.1155535504221916,DIGIT
soft_1mm_r2,soft,1,1280,5325.702217815292,0.1269609928131103,DIGIT
soft_1mm_r2,soft,1,1920,11982.829990084407,0.1232386156916618,DIGIT
soft_2mm_r1,soft,2,8,0.1832714063117097,0.1536372154951095,DIGIT
soft_2mm_r1,soft,2,16,0.7330856252468388,0.1118431165814399,DIGIT
soft_2mm_r1,soft,2,32,2.9323425009873554,0.085346408188343,DIGIT
soft_2mm_r1,soft,2,48,6.597770627221551,0.070266306400299,DIGIT
soft_2mm_r1,soft,2,80,18.327140631170973,0.0826954618096351,DIGIT
soft_2mm_r1,soft,2,160,73.3085625246839,0.0826738253235817,DIGIT
soft_2mm_r1,soft,2,320,293.2342500987356,0.0715008229017257,DIGIT
soft_2mm_r1,soft,2,426,519.6775270597474,0.0784384533762931,DIGIT
soft_2mm_r1,soft,2,640,1172.9370003949423,0.1044824868440628,DIGIT
soft_2mm_r1,soft,2,854,2088.480765087983,0.0829154923558235,DIGIT
soft_2mm_r1,soft,2,1280,4691.748001579769,0.0900056064128875,DIGIT
soft_2mm_r1,soft,2,1920,10556.43300355448,0.0954133719205856,DIGIT
soft_3mm_r1,soft,3,8,0.14892884080120877,0.1918414980173111,DIGIT
soft_3mm_r1,soft,3,16,0.5957153632048351,0.1226056739687919,DIGIT
soft_3mm_r1,soft,3,32,2.3828614528193404,0.1044104099273681,DIGIT
soft_3mm_r1,soft,3,48,5.361438268843514,0.0974858626723289,DIGIT
soft_3mm_r1,soft,3,80,14.892884080120874,0.102292813360691,DIGIT
soft_3mm_r1,soft,3,160,59.571536320483496,0.1069678366184234,DIGIT
soft_3mm_r1,soft,3,320,238.28614528193398,0.1225997358560562,DIGIT
soft_3mm_r1,soft,3,426,422.2970361443775,0.1063480526208877,DIGIT
soft_3mm_r1,soft,3,640,953.1445811277359,0.1044870093464851,DIGIT
soft_3mm_r1,soft,3,854,1697.1279134027243,0.1120709776878357,DIGIT
