sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,320,180,cycle,0,0.0666365921497345,0.07908549159765244,0.4162634313106537,0.9749331474304199,0.011844727210700512,0.0807502269744873,0.9800109267234802,719,214,67,1.9910300970077515,0.0006369141046889126,0.00036125225597061217,0.000131871085613966,30,30,26,0.1533990914367336,0.2377154158654614,64,64,1,11.6
hard_1mm_r1,320,180,random,0,0.02520878054201603,0.032663099467754364,0.27715277671813965,0.9932687878608704,0.018473012372851372,0.11736390739679337,0.973388135433197,719,214,67,1.968150019645691,0.0004760019073728472,0.0005595713155344129,9.727662109071389e-05,30,30,30,0.1419608486875871,0.2242599647735881,64,64,1,10.6
hard_1mm_r1,160,90,cycle,0,0.030738037079572678,0.037563297897577286,0.4162634313106537,0.9943450093269348,0.012490431778132915,0.0807502269744873,0.9804095029830933,719,214,67,1.9910300970077515,0.00036702980287373066,0.00040579985943622887,0.00015549507224932313,30,30,30,0.15164461354718586,0.24076992106214862,64,64,1,4.3
hard_1mm_r1,160,90,random,0,0.03822427615523338,0.047549281269311905,0.27715277671813965,0.9857351779937744,0.018783459439873695,0.11736390739679337,0.9713319540023804,719,214,67,1.968150019645691,0.0006538491579703987,0.0004172359185758978,0.00010757233394542709,30,30,29,0.17873329678563316,0.2345786740846723,64,64,1,3.3
hard_1mm_r1,80,45,cycle,0,0.0432157926261425,0.04938359931111336,0.4162634313106537,0.9902260303497314,0.024471735581755638,0.0807502269744873,0.9284301996231079,719,214,67,1.9910300970077515,0.00031759176636114717,0.0008055762154981494,0.00011863616236951202,30,30,30,0.2386946300140508,0.22180997545474043,64,64,1,3.3
hard_1mm_r1,80,45,random,0,0.05768006667494774,0.06323285400867462,0.27715277671813965,0.974773108959198,0.017042208462953568,0.11736390739679337,0.9724067449569702,719,214,67,1.968150019645691,0.00035564659629017115,0.0003363953728694469,9.944516204996035e-05,30,30,30,0.20297836759989052,0.23387044389671255,64,64,1,2.2
hard_1mm_r1,48,27,cycle,0,0.07891032099723816,0.08705314993858337,0.4162634313106537,0.9696279168128967,0.018470631912350655,0.0807502269744873,0.9620124697685242,719,214,67,1.9910300970077515,0.00045496682287193835,0.0003456789127085358,0.00014966151502449065,30,30,30,0.2633164608760404,0.25910276341661115,64,64,1,3.1
hard_1mm_r1,48,27,random,0,0.026586703956127167,0.03272109106183052,0.27715277671813965,0.9932448863983154,0.02627469226717949,0.11736390739679337,0.9379902482032776,719,214,67,1.968150019645691,0.00046837484114803374,0.00037778166006319225,8.511859050486237e-05,30,30,30,0.2315882376404233,0.20763920400744287,64,64,1,2.1
hard_1mm_r1,32,18,cycle,0,0.0748557522892952,0.08732651174068451,0.4162634313106537,0.9694368243217468,0.022491395473480225,0.0807502269744873,0.9319614171981812,719,214,67,1.9910300970077515,0.0008574682869948447,0.0008058501989580691,0.00012435729149729013,30,30,30,0.3006933879454378,0.24468952918721137,64,64,1,3.4
hard_1mm_r1,32,18,random,0,0.041349511593580246,0.04925423860549927,0.27715277671813965,0.9846938848495483,0.026713905856013298,0.11736390739679337,0.9436231255531311,719,214,67,1.968150019645691,0.0005189459770917892,0.00042872922495007515,8.001177775440738e-05,30,30,30,0.25931081785114485,0.22052896802670488,64,64,1,2.4
hard_1mm_r1,16,9,cycle,0,0.04045957699418068,0.0613660104572773,0.4162634313106537,0.9849075078964233,0.02172536961734295,0.0807502269744873,0.9219292998313904,719,214,67,1.9910300970077515,0.0009172626887448132,0.0004557341162580997,0.00013373675756156445,30,30,30,0.28115515516596806,0.22095070598281433,64,64,1,3.8
