sensor,axis,width_px,median,min,max
medium_2mm_r2,Tx,80,0.001057872083038,0.0008076127851381,0.0011994739761576
medium_2mm_r2,Tx,160,0.0008404847467318,0.0007284241146408,0.000898846599739
medium_2mm_r2,Tx,320,0.0009422730654478,0.0008586753392592,0.0011796623002737
medium_2mm_r2,Tx,426,0.0009179883636534,0.0008454238995909,0.0011765870731323
medium_2mm_r2,Tx,640,0.0008658700389787,0.0008123908773995,0.0009251019801013
medium_2mm_r2,Tx,854,0.0008761800127103,0.0007935054018162,0.0011456335196271
medium_2mm_r2,Tx,1280,0.0007530678412877,0.0007154344348236,0.0009142001508735
medium_2mm_r2,Tx,1920,0.0006606520037166,0.0006147718522697,0.0007239755359478
medium_2mm_r2,Ty,8,0.0037317150272428,0.001899873255752,0.0038016235921531
medium_2mm_r2,Ty,16,0.0013819653540849,0.001173363532871,0.0022149432916194
medium_2mm_r2,Ty,32,0.0011598772834986,0.0008913817582651,0.0011988396290689
medium_2mm_r2,Ty,48,0.0008513374486938,0.0007513151504099,0.0010132573079317
medium_2mm_r2,Ty,80,0.0008692902629263,0.0007908656843937,0.0009158726315945
medium_2mm_r2,Ty,160,0.0009168742690235,0.0008762836805544,0.00094152148813
medium_2mm_r2,Ty,320,0.0008026410359889,0.0008023525588214,0.0008989494526758
medium_2mm_r2,Ty,426,0.0007446587551385,0.0007277826662175,0.0010030245175585
medium_2mm_r2,Ty,640,0.000852657482028,0.0007806778303347,0.0008625142509117
medium_2mm_r2,Ty,854,0.0008358931518159,0.0007696998654864,0.0008880394743755
medium_2mm_r2,Ty,1280,0.0007842017803341,0.0007051317370496,0.0010240364354103
medium_2mm_r2,Ty,1920,0.0006184647791087,0.0005931518389843,0.0006663469248451
medium_2mm_r2,Tz,8,0.000169903069036,0.0001661820715526,0.0001810770772863
medium_2mm_r2,Tz,16,0.0001533616741653,0.000136489237775,0.0001608087914064
medium_2mm_r2,Tz,32,0.0001593707856955,0.0001590408355696,0.0001628150785109
medium_2mm_r2,Tz,48,0.0001587649167049,0.0001497176417615,0.0001698243577266
medium_2mm_r2,Tz,80,0.0001569471060065,0.0001380240719299,0.0001634923100937
medium_2mm_r2,Tz,160,0.0001914183521876,0.0001834862923715,0.0001934528700076
medium_2mm_r2,Tz,320,0.000169477876625,0.0001511259761173,0.0001852471759775
medium_2mm_r2,Tz,426,0.0001793161354726,0.0001618589303689,0.000189083526493
medium_2mm_r2,Tz,640,0.0001532786845928,0.0001444066147087,0.000166579906363
medium_2mm_r2,Tz,854,0.0001721151929814,0.0001571985339978,0.0001804142229957
medium_2mm_r2,Tz,1280,0.0001802361948648,0.0001543809339636,0.0001882843062048
