principle,unit,hardness,thickness_mm,rep,metric,value
DIGIT,hard_2mm_r1,hard,2,1,포화 깊이 (mm),1.68118929727925
DIGIT,hard_2mm_r2,hard,2,2,천장 (N),17.73768481074213
DIGIT,hard_2mm_r2,hard,2,2,포화 깊이 (mm),1.467904162329777
DIGIT,hard_3mm_r1,hard,3,1,천장 (N),11.83434462780252
DIGIT,hard_3mm_r1,hard,3,1,포화 깊이 (mm),1.8226737002265276
DIGIT,hard_3mm_r2,hard,3,2,천장 (N),13.673424114011729
DIGIT,hard_3mm_r2,hard,3,2,포화 깊이 (mm),1.6889990863531956
DIGIT,hard_1mm_r1,hard,1,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,hard_1mm_r1,hard,1,1,골 깊이 best_dip,0.997
DIGIT,hard_1mm_r2,hard,1,2,분해 가능한 최소 간격 (mm),1.1
DIGIT,hard_1mm_r2,hard,1,2,골 깊이 best_dip,1.0
DIGIT,hard_2mm_r1,hard,2,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,hard_2mm_r1,hard,2,1,골 깊이 best_dip,1.0
DIGIT,hard_2mm_r2,hard,2,2,분해 가능한 최소 간격 (mm),1.1
DIGIT,hard_2mm_r2,hard,2,2,골 깊이 best_dip,1.0
DIGIT,hard_3mm_r1,hard,3,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,hard_3mm_r1,hard,3,1,골 깊이 best_dip,0.967
DIGIT,hard_3mm_r2,hard,3,2,분해 가능한 최소 간격 (mm),1.1
DIGIT,hard_3mm_r2,hard,3,2,골 깊이 best_dip,1.0
DIGIT,medium_1mm_r1,medium,1,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,medium_1mm_r1,medium,1,1,골 깊이 best_dip,0.977
DIGIT,medium_1mm_r2,medium,1,2,분해 가능한 최소 간격 (mm),1.1
DIGIT,medium_1mm_r2,medium,1,2,골 깊이 best_dip,1.0
DIGIT,medium_2mm_r1,medium,2,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,medium_2mm_r1,medium,2,1,골 깊이 best_dip,1.0
DIGIT,medium_2mm_r2,medium,2,2,분해 가능한 최소 간격 (mm),1.1
DIGIT,medium_2mm_r2,medium,2,2,골 깊이 best_dip,1.0
DIGIT,medium_3mm_r1,medium,3,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,medium_3mm_r1,medium,3,1,골 깊이 best_dip,1.0
DIGIT,medium_3mm_r2,medium,3,2,분해 가능한 최소 간격 (mm),1.1
DIGIT,medium_3mm_r2,medium,3,2,골 깊이 best_dip,1.0
DIGIT,soft_1mm_r1,soft,1,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,soft_1mm_r1,soft,1,1,골 깊이 best_dip,0.984
DIGIT,soft_1mm_r2,soft,1,2,분해 가능한 최소 간격 (mm),1.1
DIGIT,soft_1mm_r2,soft,1,2,골 깊이 best_dip,1.0
DIGIT,soft_2mm_r1,soft,2,1,분해 가능한 최소 간격 (mm),1.1
DIGIT,soft_2mm_r1,soft,2,1,골 깊이 best_dip,1.0
DIGIT,soft_2mm_r2,soft,2,2,분해 가능한 최소 간격 (mm),1.1
