principle,unit,probe,centre_gap_mm,edge_gap_mm,hardness,thickness_mm,rep,depth_mm,dip,dip_sd,imprint_lvl,symmetry,verdict,mtf,verdict_mtf
9DTact,hard_1mm_r1,pair010,1.1,0.1,hard,1,1,0.4,0.066,0.021,11.77,0.97,미분해,0.034,미분해
9DTact,hard_1mm_r1,pair010,1.1,0.1,hard,1,1,0.5,0.035,0.02,13.49,0.94,미분해,0.018,미분해
9DTact,hard_1mm_r1,pair010,1.1,0.1,hard,1,1,0.6,0.018,0.014,15.39,0.95,미분해,0.009,미분해
9DTact,hard_1mm_r2,pair010,1.1,0.1,hard,1,2,0.1,0.569,0.16,0.82,0.77,신호부족,0.398,신호부족
9DTact,hard_1mm_r2,pair010,1.1,0.1,hard,1,2,0.2,0.614,0.105,1.46,0.6,신호부족,0.443,신호부족
9DTact,hard_1mm_r2,pair010,1.1,0.1,hard,1,2,0.3,0.3,0.068,3.82,0.75,분해,0.176,미분해
9DTact,hard_1mm_r2,pair010,1.1,0.1,hard,1,2,0.4,0.033,0.045,5.49,0.81,미분해,0.017,미분해
9DTact,hard_1mm_r2,pair010,1.1,0.1,hard,1,2,0.5,0.074,0.031,7.58,0.91,미분해,0.039,미분해
9DTact,hard_1mm_r2,pair010,1.1,0.1,hard,1,2,0.6,0.053,0.031,9.22,0.94,미분해,0.027,미분해
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.1,0.458,0.115,1.72,0.81,신호부족,0.297,신호부족
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.2,0.215,0.067,3.64,0.82,미분해,0.12,미분해
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.3,0.14,0.042,6.37,0.96,미분해,0.075,미분해
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.4,0.143,0.034,9.06,0.99,미분해,0.077,미분해
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.5,0.13,0.027,11.37,0.96,미분해,0.07,미분해
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.6,0.092,0.021,14.31,0.99,미분해,0.048,미분해
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.7,0.084,0.021,17.67,0.99,미분해,0.044,미분해
9DTact,hard_2mm_r1,pair010,1.1,0.1,hard,2,1,0.8,0.027,0.018,19.42,0.89,미분해,0.014,미분해
