unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
medium_1mm_r1,pair050,160,0.3,0.04986139703411907,0.009994177642201313,8.742515563964844,0.025568129854097055,미분해,61.434595478942036
medium_1mm_r1,pair050,80,0.1,-0.11199809741191769,0.008616151878578468,3.3824422359466553,-0.05302944995507444,미분해,15.358648869735509
medium_1mm_r1,pair050,80,0.2,-0.15850582642800704,0.007609344501210553,6.198877811431885,-0.07343312419513344,미분해,15.358648869735509
medium_1mm_r1,pair050,80,0.3,0.04500210709714181,0.00838149811271059,8.827982902526855,0.023019005422210897,미분해,15.358648869735509
medium_1mm_r1,pair050,48,0.1,-0.0765812059218891,0.007729057303100928,3.699993848800659,-0.036878502850501954,미분해,5.529113593104783
medium_1mm_r1,pair050,48,0.2,-0.07390381998707829,0.008021715794610541,6.034968852996826,-0.03563512409535886,미분해,5.529113593104783
medium_1mm_r1,pair050,48,0.3,-0.019936322079047164,0.009662468066239658,8.383262634277344,-0.009869777507900608,미분해,5.529113593104783
medium_1mm_r1,pair050,32,0.1,-0.07985912303872844,0.007306947176841932,3.923363208770752,-0.03839640971550618,미분해,2.4573838191576813
medium_1mm_r1,pair050,32,0.2,-0.0814026360868143,0.007066813583849663,6.2086639404296875,-0.03910950946034025,미분해,2.4573838191576813
medium_1mm_r1,pair050,32,0.3,-0.056793473086720336,0.006501819480639812,7.713190078735352,-0.027612628020200695,미분해,2.4573838191576813
medium_1mm_r1,pair050,16,0.1,-0.03840789527692645,0.0028800711735703917,4.4609375,-0.018842104843647383,미분해,0.6143459547894203
medium_1mm_r1,pair050,16,0.2,-0.07626822307449244,0.006165996408072006,5.2636871337890625,-0.03673331905140664,미분해,0.6143459547894203
medium_1mm_r1,pair050,16,0.3,-0.06117980020478431,0.006907716148661149,6.187718868255615,-0.02968193274488029,미분해,0.6143459547894203
medium_1mm_r1,pair050,8,0.1,-0.03524626582008761,0.0036072643869315404,4.442103862762451,-0.017317936611413152,미분해,0.15358648869735508
