unit,probe,gap_mm,depth_mm,sep_px,px_per_mm_recorded,px_per_mm_from_pair,ratio
soft_1mm_r1,pair025,1.25,0.3920795645669628,118.39786,108.24754899274964,94.718285,0.8750155
soft_1mm_r1,pair025,1.25,0.4870544718118097,118.2182,108.24754899274964,94.57456,0.8736878
soft_1mm_r1,pair025,1.25,0.5841376554374733,118.30786,108.24754899274964,94.646286,0.87435037
soft_1mm_r2,pair025,1.25,0.0796477585436399,219.54507,108.58893955405401,175.63606,1.6174397
soft_1mm_r2,pair025,1.25,0.1770785496004201,118.15076,108.58893955405401,94.52061,0.8704442
soft_1mm_r2,pair025,1.25,0.2765778194263504,118.10101,108.58893955405401,94.48081,0.8700777
soft_1mm_r2,pair025,1.25,0.3818552795930188,117.86188,108.58893955405401,94.289505,0.86831594
soft_1mm_r2,pair025,1.25,0.479657483163038,100.37622,108.58893955405401,80.30098,0.73949504
soft_1mm_r2,pair025,1.25,0.5916094126785865,100.23822,108.58893955405401,80.190575,0.7384783
soft_2mm_r1,pair025,1.25,0.0734601171822255,116.54889,102.40223895223372,93.23911,0.91051835
soft_2mm_r1,pair025,1.25,0.1710139319440813,181.88516,102.40223895223372,145.50813,1.4209468
soft_2mm_r1,pair025,1.25,0.2706782577156872,165.77548,102.40223895223372,132.62039,1.2950927
soft_2mm_r1,pair025,1.25,0.3750088395243587,98.40665,102.40223895223372,78.72532,0.7687851
soft_2mm_r1,pair025,1.25,0.4776951989783988,98.283325,102.40223895223372,78.62666,0.7678217
soft_2mm_r1,pair025,1.25,0.576266791814632,97.71246,102.40223895223372,78.16997,0.76336193
soft_2mm_r1,pair025,1.25,0.6771663861555908,97.74567,102.40223895223372,78.19653,0.76362133
soft_2mm_r1,pair025,1.25,0.7783250922467388,97.46265,102.40223895223372,77.970116,0.7614103
soft_2mm_r1,pair025,1.25,0.8800862841321191,97.42859,102.40223895223372,77.94287,0.7611442
soft_2mm_r2,pair025,1.25,0.0838002767225702,180.50494,100.65686622411557,144.40396,1.4346161
soft_2mm_r2,pair025,1.25,0.1802051829467821,164.58963,100.65686622411557,131.6717,1.3081244
soft_2mm_r2,pair025,1.25,0.2778409116530724,179.1405,100.65686622411557,143.31241,1.4237717
soft_2mm_r2,pair025,1.25,0.3802342817259507,162.45337,100.65686622411557,129.96269,1.2911458
soft_2mm_r2,pair025,1.25,0.4825473379875227,178.38165,100.65686622411557,142.70532,1.4177406
soft_2mm_r2,pair025,1.25,0.5831928344956587,161.67929,100.65686622411557,129.34343,1.2849935
soft_2mm_r2,pair025,1.25,0.6850566752763143,161.99808,100.65686622411557,129.59846,1.2875273
soft_2mm_r2,pair025,1.25,0.7812810674366553,162.65558,100.65686622411557,130.12447,1.292753
soft_2mm_r2,pair025,1.25,0.8780993402135735,162.8292,100.65686622411557,130.26335,1.2941328
soft_3mm_r1,pair025,1.25,0.0806077555549755,215.5047,92.94103543113387,172.40376,1.8549801
soft_3mm_r1,pair025,1.25,0.1901628675151556,165.80634,92.94103543113387,132.64507,1.4271959
soft_3mm_r1,pair025,1.25,0.2781930113202548,214.76236,92.94103543113387,171.80989,1.8485903
soft_3mm_r1,pair025,1.25,0.3762398866972845,215.39832,92.94103543113387,172.31865,1.8540643
