t,Fx,Fy,Fz,Tx,Ty,Tz
1788791883.023269,0.00118,0.01009,-0.56564,0.00027,-0.00011,-0.00014
1788791883.043617,0.00108,0.0116,-0.5543,-0.00012,-0.00032,-0.00014
1788791883.063999,0.00037,0.01087,-0.56663,-0.0,-0.00025,-6e-05
1788791883.083450,0.00072,0.00897,-0.58901,1e-05,-0.00039,-0.00017
1788791883.103295,0.00584,0.01057,-0.56982,-5e-05,-0.00033,-5e-05
1788791883.123655,0.00018,0.01555,-0.56966,2e-05,-0.00024,-0.00013
1788791883.143976,0.00061,0.01309,-0.59311,-2e-05,-0.00028,4e-05
1788791883.163322,0.00131,0.00992,-0.59109,-1e-05,-0.00044,-1e-05
1788791883.183678,-0.00062,0.00856,-0.58225,0.0001,-0.00025,-0.00015
1788791883.203032,-0.00164,0.01059,-0.57993,-8e-05,-0.00025,-0.00016
1788791883.223413,-0.00018,0.00922,-0.58188,0.0,-0.00038,-0.00019
1788791883.243800,0.00078,0.0053,-0.61937,0.00033,-0.00021,-0.00011
1788791883.263098,0.00161,0.00896,-0.59387,-8e-05,-0.0003,-0.00018
1788791883.283797,0.00305,0.00825,-0.61512,0.00014,-0.00025,-5e-05
1788791883.303493,0.00112,0.00916,-0.59629,8e-05,-0.00021,-0.00033
1788791883.323843,0.00166,0.01127,-0.60689,0.00011,-0.00022,-0.0002
1788791883.343158,0.00472,0.01091,-0.61395,-0.0001,-0.00045,-3e-05
1788791883.362995,-0.00111,0.01411,-0.61395,7e-05,-0.00023,-0.00025
1788791883.383144,0.00062,0.00837,-0.62726,0.0001,-0.00039,-0.00013
1788791883.403102,0.00063,0.00561,-0.64713,0.00012,-0.0004,6e-05
1788791883.423967,0.00102,0.01303,-0.61649,-6e-05,-0.00039,-0.00014
1788791883.443130,0.0018,0.00599,-0.62309,3e-05,-0.00051,-0.00021
1788791883.463579,0.00053,0.01216,-0.6194,-1e-05,-0.00031,-0.00023
1788791883.483874,0.00406,0.00754,-0.63653,-1e-05,-0.00039,-0.00018
1788791883.503044,-0.00148,0.0106,-0.65091,0.0002,-0.0001,-9e-05
1788791883.523465,0.00343,0.00976,-0.63622,-8e-05,-0.00049,-0.00027
1788791883.543724,-0.00087,0.00993,-0.66511,1e-05,-0.00037,0.0001
1788791883.563626,0.00142,0.00979,-0.64041,3e-05,-0.00033,-0.00018
1788791883.583117,0.00291,0.00929,-0.6441,5e-05,-0.00042,-0.00012
1788791883.604930,-9e-05,0.00958,-0.61303,-2e-05,-0.00033,-0.0003
1788791883.623786,0.00318,0.01681,-0.62419,-5e-05,-0.00033,-0.00022
1788791883.644012,-0.00071,0.00653,-0.66078,0.00021,-0.00035,-0.00034
1788791883.663156,0.00257,0.00538,-0.64186,0.00019,-0.00038,-0.00032
1788791883.683339,0.00108,0.00382,-0.67813,0.00014,-0.00041,-9e-05
1788791883.703784,0.00064,0.00928,-0.66058,5e-05,-0.00028,-9e-05
1788791883.723957,0.00078,0.00824,-0.69404,0.00023,-0.00023,1e-05
1788791883.743051,0.00139,0.00937,-0.68583,-1e-05,-0.00029,-1e-05
1788791883.763162,0.0023,0.01076,-0.68253,0.00026,-0.00028,-0.00021
1788791883.783781,0.00027,0.01481,-0.67422,6e-05,-0.00029,-0.00024
1788791883.803095,0.00196,0.01585,-0.66488,-1e-05,-0.00033,-0.00033
1788791883.823383,0.00329,0.01173,-0.66908,-0.00021,-0.00048,-0.00017
1788791883.843701,0.00393,0.01343,-0.69537,-0.00015,-0.0003,-0.00013
1788791883.864033,0.00016,0.01959,-0.68002,-8e-05,-0.00036,-0.00025
1788791883.883291,0.00482,0.01319,-0.70096,0.00012,-0.00031,-0.00014
1788791883.903430,0.0028,0.01301,-0.70092,-2e-05,-0.00032,-0.00015
1788791883.923822,0.00052,0.00977,-0.70871,0.00012,-0.00018,-8e-05
1788791883.943996,0.00061,0.01451,-0.7105,0.00018,-0.0003,-0.0002
1788791883.963213,0.00633,0.01156,-0.71481,-4e-05,-0.00038,-0.00012
1788791883.983476,0.00647,0.01119,-0.71494,0.00021,-0.00027,-0.00021
1788791884.003434,0.00517,0.01179,-0.73575,0.00014,-0.00032,0.0
1788791884.023930,0.00186,0.01533,-0.71498,0.00011,-0.00029,-0.00019
1788791884.043146,0.00278,0.01411,-0.71571,0.00017,-0.00028,-0.00022
1788791884.063694,0.00202,0.01471,-0.74291,0.00016,-0.00037,-3e-05
1788791884.083933,0.00044,0.01503,-0.72097,0.00017,-0.0003,-0.00024
1788791884.103119,0.0023,0.01458,-0.72583,5e-05,-0.00046,-0.00018
1788791884.123166,0.00288,0.01352,-0.74799,-3e-05,-0.00036,-1e-05
1788791884.143419,0.00594,0.01625,-0.74176,-2e-05,-0.00057,-0.00014
1788791884.163732,0.00645,0.01368,-0.72212,7e-05,-0.00035,-0.00031
1788791884.183996,0.00124,0.01355,-0.72839,-1e-05,-0.00037,-0.00022
1788791884.203524,0.00529,0.01977,-0.74919,4e-05,-0.00037,-0.00019
1788791884.223157,0.00092,0.01766,-0.74846,9e-05,-0.00041,-0.00024
1788791884.243303,0.00237,0.01563,-0.74131,1e-05,-0.00044,-0.00029
1788791884.263515,0.00484,0.01409,-0.75993,2e-05,-0.00048,-7e-05
